SA2_MAINCODE_2016,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_spoken_home_Eng_only_M,Lang_spoken_home_Eng_only_F,Lang_spoken_home_Eng_only_P,Lang_spoken_home_Oth_Lang_M,Lang_spoken_home_Oth_Lang_F,Lang_spoken_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
301011001,8022,8323,16345,520,488,1010,1189,1095,2282,544,499,1050,553,499,1050,1087,1134,2220,1099,1145,2247,1040,1178,2212,1051,1136,2189,607,655,1264,257,303,557,75,200,274,7696,8023,15718,327,303,633,211,215,430,15,13,21,7,24,34,232,251,481,6161,6308,12468,1502,1666,3174,7186,7401,14588,522,605,1127,6998,7263,14257,78,97,171,1120,1029,2149,356,370,725,129,148,273,140,306,446,3030,3364,6392,603,507,1111,1762,1865,3632,315,334,645,251,299,550,24,22,40,7650,7907,15556,255,326,576
301011002,3711,3667,7375,206,189,393,602,505,1112,295,303,597,263,211,476,342,387,728,455,497,948,564,621,1179,505,514,1015,299,264,563,157,133,293,31,47,82,3532,3525,7058,177,144,320,42,34,76,4,0,3,3,0,4,51,36,83,2769,2723,5488,789,812,1600,3057,2981,6042,496,562,1055,3281,3256,6530,51,41,92,570,475,1051,242,250,494,96,100,198,64,129,197,1742,1863,3607,208,178,385,532,605,1139,123,105,223,126,91,217,3,14,17,3515,3523,7037,141,115,255
301011003,7339,7582,14923,457,405,863,1014,963,1978,529,440,969,455,440,891,802,808,1609,951,1001,1953,1004,1131,2142,938,966,1901,717,744,1461,321,420,737,145,267,412,6990,7297,14286,345,291,635,114,130,240,15,5,21,0,3,7,128,139,261,5443,5509,10954,1515,1610,3120,6507,6533,13041,486,628,1115,6338,6515,12846,85,69,157,964,920,1888,370,364,729,119,154,270,125,251,378,2930,3206,6136,518,426,944,1521,1602,3120,271,279,554,249,229,475,15,17,27,6889,7093,13982,251,358,607
301011004,8710,8881,17588,559,530,1085,1170,1041,2209,567,552,1115,631,568,1204,1234,1211,2447,1114,1130,2246,1157,1245,2395,1107,1209,2310,776,827,1604,300,387,689,102,178,275,8301,8560,16864,405,319,724,184,236,426,9,6,17,11,12,25,205,262,465,6499,6581,13079,1870,1970,3844,7685,7749,15429,737,851,1586,7582,7733,15315,90,92,188,1099,984,2082,395,409,799,134,154,287,154,333,480,3424,3733,7155,648,564,1212,1855,1940,3794,400,371,762,315,373,691,21,28,51,8310,8499,16807,219,264,486
301011005,1857,1908,3761,126,131,256,236,196,426,106,91,200,102,105,203,255,256,506,258,266,522,226,261,483,271,288,561,182,195,384,80,92,171,21,31,49,1750,1827,3583,100,75,182,47,42,88,3,0,3,0,0,0,47,43,92,1384,1419,2799,359,386,743,1666,1696,3361,94,127,216,1604,1644,3245,25,25,51,210,177,389,67,64,128,22,35,55,37,69,101,698,813,1506,141,113,256,393,399,790,86,73,158,72,79,151,4,0,3,1752,1821,3568,66,70,135
301011006,5694,5881,11576,328,282,616,817,816,1636,475,424,895,373,336,707,502,531,1036,686,784,1468,928,1022,1956,800,817,1618,514,538,1051,203,216,423,73,108,177,5386,5652,11039,309,233,541,77,73,146,5,10,22,8,0,6,89,83,169,4138,4270,8408,1363,1427,2783,5154,5279,10432,340,416,760,5010,5195,10206,79,64,141,786,786,1578,364,351,711,111,127,236,102,206,305,2532,2690,5219,409,382,786,1077,1186,2261,187,150,343,140,175,321,7,16,20,5367,5597,10971,135,180,312
301021007,7016,7783,14801,299,249,552,790,761,1549,476,432,909,396,358,754,626,649,1272,705,819,1517,944,1138,2076,1106,1232,2344,945,1109,2052,529,696,1226,200,340,544,6587,7408,13993,431,377,802,103,119,222,5,3,10,5,8,18,110,134,248,4602,4971,9575,1988,2318,4312,6091,6680,12765,526,650,1177,5872,6482,12355,56,39,95,735,723,1458,341,333,681,113,122,229,123,245,370,3059,3296,6355,473,451,922,1451,1788,3239,265,318,584,243,333,576,10,15,23,6440,7207,13651,403,488,889
301021008,2784,3015,5793,131,92,219,399,366,766,218,218,437,154,134,287,214,222,434,301,355,656,425,473,902,402,443,843,281,361,639,182,219,398,71,129,200,2630,2887,5520,151,128,275,39,39,80,0,0,0,3,10,7,39,47,89,1874,2052,3927,813,846,1659,2470,2665,5140,208,245,453,2413,2642,5063,32,24,60,385,345,725,170,177,345,59,46,105,49,109,153,1322,1390,2706,175,220,401,479,629,1116,90,103,186,72,93,160,3,3,6,2638,2838,5478,65,123,189
301021009,7748,7838,15586,506,474,977,1286,1179,2460,591,497,1087,390,415,806,814,893,1710,1047,1133,2185,1142,1145,2289,870,952,1814,722,738,1464,287,318,606,88,97,189,7328,7514,14844,415,327,745,147,146,296,19,14,38,7,11,12,172,172,344,5766,5852,11622,1553,1569,3126,6974,7044,14017,365,409,777,6702,6820,13523,85,94,180,1188,1094,2278,421,362,778,75,146,219,124,259,376,2658,3077,5732,576,513,1087,1737,1701,3443,329,277,601,252,211,461,12,9,25,7181,7366,14550,351,350,705
301021011,4007,3898,7909,326,298,622,701,622,1324,270,233,506,177,205,384,534,582,1121,668,670,1340,563,566,1127,390,398,784,275,241,516,78,75,152,15,20,35,3821,3756,7578,191,139,328,72,52,127,7,4,13,3,7,10,81,59,144,3088,2996,6085,769,761,1528,3685,3572,7256,185,205,396,3565,3506,7071,63,63,122,666,586,1254,195,183,378,39,71,112,74,148,226,1637,1867,3505,272,205,477,753,641,1394,123,95,211,77,65,142,0,3,7,3818,3757,7582,103,95,193
